Pincode,QWIK GNG.,Del Serv.,Shadowfax Serv.,Bluedart Serv,Qwik HD.,Del HD.,City,State,Zone,GNG P1,HD P1
123031,InActive,Active,InActive,InActive,InActive,Active,Mahendragarh,HARYANA,NORTH,SJ93,SJ93
123034,InActive,Active,InActive,Active,InActive,Active,MAHENDARGARH,Haryana,NORTH,SJ93,SJ93
123035,Active,Active,InActive,InActive,Active,NSZ,KOSLI,Haryana,NORTH,SJ93,SJ93
123101,Active,Active,InActive,Active,Active,NSZ,REWARI,Haryana,NORTH,SJ93,SJ93
123102,InActive,Active,InActive,Active,InActive,Active,REWARI,Haryana,NORTH,SJ93,SJ93
123103,InActive,Active,InActive,Active,InActive,Active,Bawania,Haryana,NORTH,SJ93,SJ93
123106,Active,Active,Active,Active,Active,Active,DHARUHERA,Haryana,NORTH,SJ93,SJ93
123110,Active,Active,InActive,Active,Active,Active,Taura,Haryana,NORTH,SJ93,SJ93
123301,InActive,Active,InActive,Active,InActive,Active,KOSLI,Haryana,NORTH,SJ93,SJ93
123302,Active,Active,InActive,InActive,Active,Active,KOSLI,Haryana,NORTH,SJ93,SJ93
123303,InActive,Active,InActive,Active,InActive,Active,KOSLI,Haryana,NORTH,SJ93,SJ93
123401,Active,Active,InActive,Active,Active,Active,REWARI,Haryana,NORTH,SJ93,SJ93
123411,Active,Active,InActive,Active,Active,Active,REWARI,Haryana,NORTH,SJ93,SJ93
123412,InActive,Active,InActive,Active,InActive,Active,REWARI,Haryana,NORTH,SJ93,SJ93
123501,Active,Active,InActive,Active,Active,Active,REWARI,Haryana,NORTH,SJ93,SJ93
124001,Active,Active,InActive,Active,Active,Active,ROHTAK,Haryana,NORTH,SJ93,SJ93
124010,Active,Active,Not active/Embargo,Active,Active,Active,ROHTAK,Haryana,NORTH,SJ93,SJ93
124021,Active,Active,InActive,Active,Active,Active,ROHTAK,Haryana,NORTH,SJ93,SJ93
124022,InActive,Active,InActive,InActive,Active,Active,MAHAM,Haryana,NORTH,SJ93,SJ93
124102,Active,Active,InActive,Active,Active,Active,JHAJJAR,Haryana,NORTH,SJ93,SJ93
124103,Active,Active,InActive,Active,Active,Active,JHAJJAR,Haryana,NORTH,SJ93,SJ93
124104,Active,Active,InActive,Active,Active,Active,JHAJJAR,Haryana,NORTH,SJ93,SJ93
